Title,Number of review,Catagory,Reveiw Comment,Popular food,Online Order
Socarrat Paella Bar - Chelsea,225,"Fast Food, Deli","“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",No,Yes
NY Grill & Deli,3,French,“Great Poki Bowl and Fish Tacos”,No,Yes
Poulette Rotisserie,8,American,“Meh”,No,Yes
Jose Luis Little Italy,3,"Asian, Thai",“Very good Thai cuisine. Good service...”,No,Yes
JARS by Dani,2,"Asian, Chinese",“Gruby Spanish restaurant with a surely...”,No,No
One More Charm Thai,1 review,Mexican,“Highlights were the tuna tartare appetizer and the salmon entree.”,No,No
Little Alley,44,"American, Fast Food",“Excellent food”,No,No
Nina's Great Burrito Bar,1 review,"Seafood, Soups",“Good...!”,No,No
Ascent Lounge New York,1 review,"Bar, Pub",“Tasty treat”,No,No
Baked Cravings,2,"Caribbean, Jamaican",“Fun spot”,No,No
Pret A Manger,15,"American, Steakhouse",“best bengali food”,No,No
Cava,1 review,"Japanese, Sushi",“My steak was delectable and cooked to perfection.”,No,No
Benjamin Steakhouse Prime,309,"American, Fast Food",No,No,No
Makana Hawaiian Eatery,3,Indian,No,No,No
VON,5,"Steakhouse, American",No,No,No
Tung Thong 181,2,"Steakhouse, American",No,No,No
Jumiekanyc,1 review,"Steakhouse, American",No,No,No
El Castillo De Manhattan,6,"Steakhouse, American",No,No,No
David Burke Tavern,114,"Steakhouse, American",No,No,No
Ootaya,2,"Steakhouse, American",No,No,No
KFC,16,"Steakhouse, American",No,No,No
Wafels & Dinges,5,"Steakhouse, American",No,No,No
Krush,2,"Steakhouse, American",No,No,No
Sheezaan Indian Restaurant,3,"Steakhouse, American",No,No,No
Tabernacle Steakhouse,7,"Steakhouse, American",No,No,No
Allora Fifth Ave,9,"Italian, Mediterranean",“Good experience for dinner”,Steak,Yes
Cafe Grumpy,6,Cafe,“5 Star Coffee”,tuna,Yes
Subway,4,Deli,“Quickest way to get around the city”,ramen,Yes
Sushi Teru Omakase,1 review,"Cafe, Mediterranean","“Good bar, good beer”",Crab Cakes,Yes
The Expat,2,"Wine Bar, Mediterranean","“Lovely, cosy place for a perfect breakfast”",No,Yes
GFG Bakery-Cafe William Str,2,Sushi,“Amazing!!!”,No,Yes
Balzem,100,Cafe,“Something for everyone”,No,Yes
Manny's Bistro,2,American,“Ok if your in the area. Better than...”,No,Yes
Rose Bakery,10,"American, Steakhouse",“Fresh”,No,Yes
Maki Kosaka,1 review,"Middle Eastern, Bar","“Superb Steak, really delicious”",No,Yes
Yura on East End,2,"Bar, Cafe",“Hookah fun in Manhattan”,No,Yes
53 Restaurant,1 review,"American, Steakhouse",“excellent food”,No,Yes
Royal 35 Steakhouse,591,"Asian, Thai",“Best Takeout Chinese in Washington Heights”,No,Yes
Grab & Go Food,1 review,American,“Highlights were the tuna tartare appetizer and the salmon entree.”,No,Yes
Babylon Hookah Bar and Lounge,32,"French, American",“Bagel made perfect”,No,Yes
Crescent Grill,2,"American, Seafood",“New York Post wrong on this one”,No,Yes
King Garden Restaurant,3,Chinese,“Best oysters in my life”,No,No
Dig,1 review,"American, Fast Food",“Better than typical”,No,No
David Burke Tavern,114,Mexican,“Nice cheesy comfort food”,No,No
Wau,1 review,"Chinese, Asian",“Dinner after Governors Island visit”,No,No
Lenwich,5,Japanese,“LOVE THIS PLACE”,No,No
Playa Bowls,1 review,"Mexican, Latin",“I enjoyed very much the authentic Japanese ramen.”,No,No
Monterey,3,"Italian, American",“I do NOT recommend this place”,No,No
Shake Shack Meatpacking District,1 review,"Cafe, Asian","“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",No,No
MERMAID OYSTER BAR TIMES SQUARE,9,"Seafood, Soups",No,No,No
Civic Deli,8,"Seafood, Soups",No,No,No
Tudor City Tavern & Marketplace,1 review,"Seafood, Soups",No,No,No
Kong Sihk Tong,1 review,"Seafood, Soups",No,No,No
Melt Shop,2,"Seafood, Soups",No,No,No
77 Burger,5,"Seafood, Soups",No,No,No
Tim Ho Wan,35,"Seafood, Soups",No,No,No
Gorin Ramen,2,"Seafood, Soups",No,No,No
The Migrant Kitchen Upper West Side,1 review,"Seafood, Soups",No,No,No
Simple,5,"Seafood, Soups",No,No,No
Champion Pizza Plus - Essex,1 review,"Seafood, Soups",No,No,No
Yifang Taiwan Fruit Tea (St.Marks),1 review,"Seafood, Soups",No,No,No
Benjamin Steakhouse Prime,309,"Seafood, Soups",No,No,No
Casa Soglia,1 review,"Italian, Mediterranean",“The most economical & satisfying meal”,Garden,Yes
Dragon Horn Tea,1 review,"Cafe, Asian",“Fast friendly service”,French toast,Yes
Zhongzhong Noodles,1 review,"Chinese, Asian",“Close to Maddison Square Garden.”,carbonara,Yes
Yuri Sushi,2,Sushi,“Bearin Wheel Pie is an new concept in...”,Pizza,Yes
Empanada Mia,1 review,"Chilean, South American",“Green Light”,No,Yes
Jamba Juice,2,"Bar, Pub",“We had some delicious French toast with...”,No,Yes
Goldie's Tavern,7,Sushi,“Awesome tarts!”,No,Yes
Sushi Lab - East Village,1 review,"Greek, Cafe",“Fantastic Corner Spot Serving Crepes...”,No,Yes
Made in Mexico Harlem,1 review,"Lebanese, Mediterranean","“We had a wonderful dinner at Lupa, spaghetti carbonara and the garganelli bol...”",No,Yes
Wolfnights - The Gourmet Wrap,1 review,"Italian, Pizza",“Delicious food”,No,Yes
Bearin Wheel Pie,2,"Italian, Romana",“Fresh McDonalds late night”,No,Yes
Juice Press,2,"Mediterranean, Israeli",“Cheap - but bloody good”,No,Yes
Greek From Greece,19,American,“Very good”,No,Yes
Le Pain Quotidien,2,"American, Pizza",“Quite possibly the best Pizza I ever ate!”,No,Yes
LES Crapes & Taqueria,2,"Asian, Korean",“another kind of fast food”,No,Yes
Chamoun's Way,1 review,"American, Fast Food",“Big Sub Sandwiches”,No,Yes
M & Pizza Restaurant,1 review,"French, Cafe",“Good chicken burger”,No,Yes
Chelsea Fine Food,1 review,"Chinese, Asian",“Always fresh and delicious!”,No,No
Lupa Osteria Romana,983,American,“Great but not London”,No,No
Etrog Kosher Restaurant & Catering,3,Mexican,“Great quality for the price!”,No,No
McDonald's,10,"American, Seafood",“Nice place to grocery’s”,No,No
Taco Bell Cantina,7,"American, Seafood",“Decent Burger Place”,No,No
Burp Bowl Cafe,4,"American, Seafood",“Decent Mexican food with cozy ambiance”,No,No
Mother Duck,1 review,"American, Seafood",“Best oysters in my life”,No,No
The Marshal,323,"American, Seafood",No,No,No
SuPoke,3,"American, Seafood",No,No,No
Subway,7,"American, Seafood",No,No,No
Popeyes Louisiana Kitchen,34,"American, Seafood",No,No,No
Paris Baguette,2,"American, Seafood",No,No,No
Subway,7,"American, Seafood",No,No,No
Tangy Noodle,3,"American, Seafood",No,No,No
Foodtown,4,"American, Seafood",No,No,No
Quantum Leap,1 review,"American, Seafood",No,No,No
Smashburger,2,"American, Seafood",No,No,No
Calexico East Village,4,"American, Seafood",No,No,No
Pressed Juicery,1 review,"American, Seafood",No,No,No
MERMAID OYSTER BAR TIMES SQUARE,9,"American, Seafood",No,No,No
Ben & Jack's Steakhouse,87,"Bar, American",“The bartender/server suggested the ribeye as well as the special mashed potat...”,ribeye,Yes
Two Hands Seoul Fresh Corn Dogs,1 review,"Fast Food, Asian","“The Lamb was very tender, quite big chunks and very tasty, the sauce perfectl...”",Lamb,Yes
Curry India,33,Indian,“Great Sandwiches!”,French Onion Soup,Yes
Marce Taqueria Express,1 review,Mexican,"“We had French Onion Soup, which was delicious.”",fries,Yes
Et Al - Fine Food,3,Deli,“Fantastic!”,carbonara,Yes
Bar Milano by Eataly,1 review,"French, American",“Dog with Vietnamese Pork”,No,Yes
Quality Bistro,67,"Mexican, American",“Solid bagel choice”,No,Yes
Hale & Hearty Soups,2,Georgian,“Great food but very chaotic atmosphere”,No,Yes
Carlos & Gabby's,1 review,"Indian, Chinese",“Best Bagel!”,No,Yes
Chito Gvrito,1 review,American,“Great Food - Excellent Service”,No,Yes
Coney Shack,3,Italian,“love this tiny gem”,No,Yes
Tal Bagels on 1st Ave,2,"Chinese, Asian",“A Gramercy Park Find”,No,Yes
Utsav Restaurant,627,"Asian, Vietnamese",“Great quality for the price!”,No,Yes
Tal Bagels,2,"American, Steakhouse","“The prices have gone up slightly, but the...”",No,Yes
Parker's At Thompson Central Park,1 review,Italian,“Terrific meal and drinks”,No,Yes
Ufo,2,"American, Bar","“The fries were terrific also, hot crisp...”",No,Yes
Jimbo's Hamburger,3,"Bar, Pub",“Delicious Burgers”,No,No
Cafe Salmagundi,2,"Peruvian, Latin",“I came to this restaurant with a huge...”,No,No
Tangy Noodle,3,Caribbean,“Cold beer on hot dau”,No,No
Moe's Grocery Inc.,3,"Italian, Pizza",“Maryland’s Best in NYC”,No,No
Bocaphe,1 review,"Japanese, Grill",“Recomendadisimo”,No,No
DK Restaurant,2,Pizza,“Great view but that's it”,No,No
Isabella`S Restaurant & Pizzeria,1 review,"Peruvian, Seafood",“YUM YUM YUM !”,No,No
Empire Burger House,1 review,"Italian, Romana","“We had a wonderful dinner at Lupa, spaghetti carbonara and the garganelli bol...”",No,No
All Stars Sports Bar & Grill,21,"Italian, Romana",No,No,No
Claudy's Kitchen,1 review,"Italian, Romana",No,No,No
The Cabin,6,"Italian, Romana",No,No,No
Republica,5,"Italian, Romana",No,No,No
Voyager Espresso,1 review,"Italian, Romana",No,No,No
Subway Inn,4,"Italian, Romana",No,No,No
Ledo Pizza,13,"Italian, Romana",No,No,No
J's Kitchen New York,1 review,"Italian, Romana",No,No,No
Domino's Pizza,3,"Italian, Romana",No,No,No
A.R.T. NoMad (Arlo Roof Top),3,"Italian, Romana",No,No,No
Charlie's Pizza,2,"Italian, Romana",No,No,No
Don Ceviche,1 review,"Italian, Romana",No,No,No
Lupa Osteria Romana,983,"Italian, Romana",No,No,No
Sea Fire Grill,"1,137","Steakhouse, Bar",“The lobster bisque was velvety and luscious.”,lobster bisque,Yes
Afficionado Coffee Roasters,1 review,Cafe,“Healthy Mexican- my idea of perfection”,Dumplings,Yes
Al Horno Lean Mexican Kitchen,3,Mexican,“I savored Crystal Shrimp Dumplings with delicate translucent skin that melted...”,dim sum,Yes
Tipsy Shanghai,1 review,Chinese,“A horrid MSG experience”,ribeye,Yes
Deep Indian Kitchen,1 review,Indian,“Liking the lobster lots!”,sliders,Yes
Sammy's Halal Food,1 review,"Asian, Chinese",“As good as other dim sum but may be sli...”,No,See events
Little Alley,44,"Chinese, Cajun & Creole",“The cafe is conveniently located.”,No,Yes
Sup Crab,4,American,“Hidden Gem in the West Village”,No,Yes
Luke's Lobster,2,"Italian, French",“The bartender/server suggested the ribeye as well as the special mashed potat...”,No,Yes
EatWith: Stacia of Brooklyn,1 review,American,“Mc Donalds”,No,Yes
Enzo Bruni La Pizza Gourmet,1 review,"Chinese, Asian",“Lunch Deal”,No,Yes
The Lobby Bar & Cafe,1 review,American,“Beautiful drink spot”,No,Yes
Brickyard craft kitchen & beer,3,"French, Bar",“Perfect Picnic did a wonderful job...”,No,Yes
Awesum Dim Sum,1 review,"Bar, American",“Tiny hole in the wall Chinese restaurant”,No,Yes
Le Pain Quotidien,1 review,Steakhouse,“Their raison buns are the best”,No,Yes
Eataly NYC Downtown,15,American,“Very good takeout Korean food”,No,Yes
City Gourmet Deli Cafe,6,American,“Super fresh”,No,Yes
Mino Brasserie,87,"Italian, American",“I had the sliders and a green salad with a tasty lemony vinaigrette.”,No,No
Ben & Jack's Steakhouse,7,American,“COZY RESTAURANT”,No,No
McDonald's,6,"American, Bar",“Different Asia food concept”,No,No
Pee Dee Steak House,1 review,"Pub, Gastropub",No,No,No
Van Leeuwen Ice Cream,1 review,Spanish,No,No,No
Route 66 Smokehouse,3,"Chinese, Asian",No,No,No
A.R.T. SoHo,49,"Italian, Mediterranean",No,No,No
Perfect Picnic,2,"Italian, Mediterranean",No,No,No
Shun Wei Restaurant,4,"Italian, Mediterranean",No,No,No
Tao Hung Bakery,2,"Italian, Mediterranean",No,No,No
Gogo-gi,2,"Italian, Mediterranean",No,No,No
sweetgreen,1 review,"Italian, Mediterranean",No,No,No
Hamilton Hall,55,"Italian, Mediterranean",No,No,No
The Elgin,6,"Italian, Mediterranean",No,No,No
Corcho Wine Room,1 review,"Italian, Mediterranean",No,No,No
Bondi Sushi,1 review,"Italian, Mediterranean",No,No,No
Coffee + Cocktails,1 review,"Italian, Mediterranean",No,No,No
Uyghur Restaurant,3,"Italian, Mediterranean",No,No,No
Bao Tea House,1 review,"Italian, Mediterranean",No,No,No
Casa Soglia,No,"Italian, Mediterranean",No,No,No
Motorino,48,"Italian, Pizza",“Delicious thin crust pizza”,pizza,Yes
Bedford on Park,3,Italian,“Good Kosher Restaurant experience”,Sushi,Yes
La Villa Pizzeria,2,American,“Good Food!”,ribeye,Yes
Sweetbriar,4,Mexican,“Over Good”,French Onion Soup,Yes
La Palapa Taco Bar Gotham,1 review,"Japanese, Seafood",“I thought the food and service at this...”,No,Yes
McDonald's,3,American,“Leave it to Sushi Chef!”,No,Yes
Momoya Soho,9,American,“The posh place..”,No,Yes
Contour,2,"Mediterranean, Middle Eastern",“The Lemon filled glazed doughnut was...”,No,Yes
The Ugly Duckling,1 review,"Asian, Vietnamese",“Good food bad service”,No,Yes
Krispy Kreme,2,"Healthy, Chinese",““Best Kept Secret in Dumbo””,No,Yes
May Kaidee,1 review,Italian,“Good and plentiful”,No,Yes
Nanoosh,17,"American, Seafood",“My favorite East Harlem lunch spot”,No,Yes
Em Vietnamese Bistro,5,"American, Healthy",“Let’s go Lagos!”,No,Yes
Jade House,3,Chinese,“Not bad”,No,Yes
Charlie's Place,4,"Seafood, Soups",“Served the purpose”,No,Yes
Lagos Restaurant and Lounge,6,"European, Swedish",“Best oysters in my life”,No,Yes
Subway,4,"American, Bar","“Difficult, but good”",No,No
Lodi,22,"French, American",“Quick service compared to bakery just...”,No,No
MERMAID OYSTER BAR TIMES SQUARE,9,"Pizza, Italian","“Good Meal, Cool Atmosphere”",No,No
Dig,5,Mexican,"“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”",No,No
The Corner Lounge,1 review,"Japanese, Barbecue","“Noisy but food was good,”",No,No
Le Pain Quotidien,3,"Indian, Chinese","“We had French Onion Soup, which was delicious.”",No,No
Ja Moy Kitchen & Bar,1 review,"Indian, Chinese",“Murder Mystery Night at the World Bar”,No,No
Brasserie Saint Marc,4,"Indian, Chinese",“Much better than I expected”,No,No
Benjamin Steakhouse,"2,490","Indian, Chinese",“A Mexican Staple”,No,No
Los 3 Charros,1 review,"Indian, Chinese",“Great food but very chaotic atmosphere”,No,No
Pekarna,1 review,"Indian, Chinese",No,No,No
Hutte,1 review,"Indian, Chinese",No,No,No
Saravana Bhavan,1 review,"Indian, Chinese",No,No,No
Dave & Buster's New York City - Times Square,260,"Indian, Chinese",No,No,No
Quality Bistro,67,"Indian, Chinese",No,No,No
World Bar,7,"Indian, Chinese",No,No,No
Grandpa's Brick Oven Pizza,13,"Indian, Chinese",No,No,No
Central Market New York,1 review,"Indian, Chinese",No,No,No
Junior's Tacos,3,"Indian, Chinese",No,No,No
Hyun,1 review,"Indian, Chinese",No,No,No
Utsav Restaurant,627,"Indian, Chinese",No,No,No
Ben & Jack's Steakhouse,87,"Bar, American",“The bartender/server suggested the ribeye as well as the special mashed potat...”,ribeye,Yes
Poke N' Roll,1 review,Italian,“Highly Recommend”,Crab Cakes,Yes
Let's Poke,2,"Seafood, Soups",“Sandwiches to Take With Us”,bagels,Yes
Subway,4,Japanese,“Friendly and casual atmosphere”,seafood paella,Yes
Just Salad,1 review,Spanish,"“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",Dumplings,Yes
Sette,8,"American, Cafe",“Authentic Mexican Cuisine”,Steak,Yes
Benjamin Steakhouse Prime,309,"Polish, European",“Best Kaiseki”,No,Yes
La Fiesta,6,American,“Best Mofongo in Town!”,No,Yes
Tsukimi,3,"Peruvian, South American",“Decent burger joint”,No,Yes
Hudson Bagel,1 review,Middle Eastern,“One of the best bagels in the city!”,No,Yes
El Nuevo Jobo Restaurant & Bar,3,"Chinese, Asian",“Good crafty bagel”,No,Yes
Five Guys,11,Sushi,“Awesome and simple”,No,Yes
Rico Bagel,3,"Italian, Pizza",“Authentic Palestinian food. Good vibes.”,No,Yes
Black Seed Bagels,2,Pizza,“Great hole- in - the - wall place .”,No,Yes
Potbelly Sandwich Shop,3,"Seafood, Mediterranean",“Great quality for the price!”,No,Yes
Cantina 33,1 review,"Asian, Korean",“Their jumbo slice is a jumbo slice and is...”,No,Yes
King Of Falafel& Shawarma,10,"Italian, African",“Great basic-diner-food”,No,Yes
Tudor Cafe,2,Seafood,“We took the combined poultry and seafood paella and started with some appetiz...”,No,Yes
Tangy Noodle,3,"Italian, French",“Breakfast a must do.”,No,Yes
Douska,1 review,"Asian, Chinese",“ok....”,No,Yes
Pizza by Lucille's,1 review,"American, Cafe","“Food just okay, watch credit card fee”",No,Yes
Papi's Pizza,2,International,“I savored Crystal Shrimp Dumplings with delicate translucent skin that melted...”,No,No
Death By Pizza,1 review,American,“Disappointing coffee”,No,No
Jimbo's Hamburger Palace,2,"Mexican, American","“Good food, fast service”",No,No
Socarrat Paella Bar - Chelsea,225,"American, Steakhouse","“Superb Steak, really delicious”",No,No
Mofongo Del Valle,2,"American, Steakhouse",No,No,No
Mochi Mochi Donut,1 review,"American, Steakhouse",No,No,No
Fiaschetteria Pistoia,1 review,"American, Steakhouse",No,No,No
Shaking Crab,13,"American, Steakhouse",No,No,No
Osteria Nando,4,"American, Steakhouse",No,No,No
Little Alley,44,"American, Steakhouse",No,No,No
Barney Brown,1 review,"American, Steakhouse",No,No,No
Gyu-Kaku Japanese BBQ,1 review,"American, Steakhouse",No,No,No
"Le Pain Quotidien, 16 E 44th St, New York, NY 10017",13,"American, Steakhouse",No,No,No
Atomic Wings,7,"American, Steakhouse",No,No,No
fresh&co,1 review,"American, Steakhouse",No,No,No
Royal 35 Steakhouse,591,"American, Steakhouse",No,No,No
Socarrat Paella Bar - Chelsea,225,"Seafood, Mediterranean",“We took the combined poultry and seafood paella and started with some appetiz...”,seafood paella,Yes
St. Nicholas Gourmet Deli,2,"Pub, American",“Good for breakfast”,fries,Yes
The Bigger Place,5,"Cafe, Fast Food",“Good Mexican”,lobster bisque,Yes
Slaughtered Lamb Pub,50,"Bar, Pub",“Village staple”,steak,Yes
Pret A Manger,13,"American, Seafood",“Good for a snack”,Steak,Yes
Bonnie Vee Bar,2,Seafood,“Excellent Bar”,No,Yes
MERMAID OYSTER BAR TIMES SQUARE,9,"Steakhouse, Latin",“Best oysters in my life”,No,Yes
Shaking Crab,1 review,"Bar, Pub",“Swedish coffee shop”,No,Yes
Konditori,5,French,“Great meal and great alternative to fast...”,No,Yes
El Carnaval,1 review,"Steakhouse, Bar","“The fries were terrific also, hot crisp...”",No,Yes
Mangia 23rd Street,2,"Italian, Pizza",“This is a convenient place to shop”,No,Yes
Grimaldi's,1 review,Deli,"“Good Food, Deli Style, reasonable prices”",No,Yes
All Stars Sports Bar & Grill,21,"Steakhouse, American","“Great food, friendly service”",No,Yes
Cafe Deli-Cious,2,Mexican,“The lobster bisque was velvety and luscious.”,No,Yes
Le Pain Quotidian Soho,1 review,Cafe,“An Above Average Bodega”,No,Yes
Taz Cafe,3,"Mexican, American",“Unbelievable Food.”,No,No
1st Avenue Gourmet Deli,2,"American, Bar",“I cant miss it”,No,No
Sant Ambroeus Gelateria,1 review,Arabic,“My steak was delectable and cooked to perfection.”,No,No
Sea Fire Grill,"1,137","Cafe, Healthy",“Great place to grab a lunch”,No,No
Uncle Sam's Pizza,1 review,American,“Gem of a Cafe”,No,No
Rocco's Pizza,1 review,"American, Steakhouse",“Great Place to Pick Up some great roast...”,No,No
Stop 1 Deli,2,"American, Steakhouse",“Absolutely amazing”,No,No
ABC Home Grown,3,"American, Steakhouse",“Delicious!”,No,No
Calle 191 Pescaderia,2,"American, Steakhouse",“Great Grub”,No,No
Tabernacle Steakhouse,7,"American, Steakhouse",“Innovative Tea Shop!!”,No,No
Chipotle Mexican Grill,3,"American, Steakhouse","“Superb Steak, really delicious”",No,No
Halo Bistro Cafe,2,"American, Steakhouse",No,No,No
Lucky Chicken,3,"American, Steakhouse",No,No,No
Catherine's Deli And Bagels,1 review,"American, Steakhouse",No,No,No
Mini Melanie,1 review,"American, Steakhouse",No,No,No
Broken Shaker at Freehand New York,14,"American, Steakhouse",No,No,No
Thirstea,2,"American, Steakhouse",No,No,No
Fresco 57,3,"American, Steakhouse",No,No,No
The Halal Guys,1 review,"American, Steakhouse",No,No,No
Argo Tea,4,"American, Steakhouse",No,No,No
Eat Pretty,1 review,"American, Steakhouse",No,No,No
Royal 35 Steakhouse,591,"American, Steakhouse",No,No,No
Tabernacle Steakhouse,7,"Steakhouse, American",“My steak was delectable and cooked to perfection.”,steak,Yes
Wa Lung Kitchen,7,Chinese,“Delicious Inexpensive Neighborhood Chinese”,ribeye,Yes
Hotel Chocolate,1 review,"American, Cafe","“Great Salad, Great Price....”",tuna,Yes
Starbucks,1 review,Italian,“Perfectly nice Italian close to the Park...”,gyoza,Yes
sweetgreen,4,"Bar, American",“The bartender/server suggested the ribeye as well as the special mashed potat...”,tuna,Yes
Jardino Restaurant,6,"Mediterranean, European",“Great if you’re in the mood for...”,No,Yes
Ben & Jack's Steakhouse,87,"Japanese, Asian",“Good Ramen and Saki”,No,Yes
Heavenly Organic Market,1 review,"Pizza, Italian",“Everything Chocolate”,No,Yes
The Blue Mezze Bar,5,Chinese,"“Good, not typical NY slice”",No,Yes
Zen Restaurant,14,"American, Asian",“Delicious NY Pizza”,No,Yes
K & K Deli,1 review,"American, Deli",“Tasty on a wet weekday”,No,Yes
The Cocoa Bar,3,"American, Barbecue",“Quiet and peaceful Cafe”,No,Yes
Stone Bridge Pizza & Salad,41,Italian,“Great Fried Shrimp and rice lunch; Little...”,No,Yes
Little Gio's Pizza,4,"American, Fast Food",“The tuna toast !”,No,Yes
New China Red Gourmet,4,"Japanese, Asian",“Excellent Italian Deli sandwich”,No,Yes
Simply Divine,4,"American, Deli",“My Go To”,No,Yes
Chicken House,3,"Italian, Chinese",“Cave”,No,Yes
Dr Clark,1 review,"Mediterranean, Turkish",“Fast food at its best”,No,No
Vestry,24,Chinese,“We also had pork and ginger gyoza.”,No,No
King Wang's,1 review,"Sushi, Japanese",“Terrific coffee and vegan dining. Products”,No,No
Kips Bay Deli,2,Chinese,“Bagels”,No,No
Chirping Chicken,2,"American, Steakhouse",“Very Authentic & Delicious”,No,No
La Caverna,13,"American, Steakhouse",“Yummy!”,No,No
Shake Shack Astor Place,13,"American, Steakhouse","“Great Duck, so-so service... depending on...”",No,No
IZAKAYA E.A.K. Hell's Kitchen,20,"American, Steakhouse",“Yummy Sushi and Shaki”,No,No
Gregorys Coffee,2,"American, Steakhouse",“Great chicken wings”,No,No
Jet's Pizza,1 review,"American, Steakhouse",“Highlights were the tuna tartare appetizer and the salmon entree.”,No,No
Bagel Buffet,3,"American, Steakhouse",No,No,No
Callen Badeluya,1 review,"American, Steakhouse",No,No,No
Ines,1 review,"American, Steakhouse",No,No,No
Lezzet Mediterranean Turkish Restaurant,17,"American, Steakhouse",No,No,No
Chop Stick House,3,"American, Steakhouse",No,No,No
MACC,1 review,"American, Steakhouse",No,No,No
Yue Wong,12,"American, Steakhouse",No,No,No
Akura Sushi,9,"American, Steakhouse",No,No,No
China 1 Kitchen,4,"American, Steakhouse",No,No,No
David Burke Tavern,114,"American, Steakhouse",No,No,No
Benjamin Steakhouse,"2,490","Seafood, Soups","“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”",ribeye,Yes
Subway,3,"American, Cafe",“Good sandwich”,pizza,Yes
Hole In The Wall,1 review,American,“One of the underground spots still in...”,steak,Yes
nublu,6,"Italian, Pizza",“My go to place in the morning”,tuna,Yes
Butterfield Kitchen,2,"Chinese, Asian",“Celebration 😊”,ribeye,Yes
Brady's Bar,5,"Caribbean, Asian",“Delicious thin crust pizza”,No,Yes
Motorino,48,Spanish,“Multi-ethnic gem”,No,Yes
Wasabi Point,2,"Chinese, Steakhouse",“Delicious Paninis”,No,Yes
3 Times,1 review,American,“Local food”,No,Yes
The Bun Hut,1 review,Chinese,“Worth the price”,No,Yes
West Village Finest Deli,2,"Italian, Pizza",“Very hungry”,No,Yes
La Barca Restaurant,7,Cafe,“Okay by NYC Standards”,No,Yes
Brooklyn Chop House - Times Square,3,"Pizza, Fast Food",“Great neighborhood take out”,No,Yes
Raku It's Japanese!,1 review,"Steakhouse, American",“Excellent Pizza”,No,Yes
KFC,7,Cafe,“used to be good when not nice original...”,No,Yes
Lions & Tigers & Squares Detroit Pizza,1 review,Healthy,“Great Sandwiches!”,No,Yes
Margari Pizza,2,"Italian, Pizza",“My steak was delectable and cooked to perfection.”,No,Yes
Yoan Ming Garden,11,Mexican,“Disorganizedstore”,No,Yes
Motorino East Village,290,"Caribbean, Jamaican",“Good amount for price”,No,Yes
Italian Village Pizzeria & Restaurant,3,"International, Asian",“Quick bite”,No,Yes
First On First Deli,2,"Japanese, Sushi","“Good, cheap Brazilian eats.”",No,No
Quechua Nostra,1 review,"Bar, American",“The tuna toast !”,No,No
787 Coffee Co.,1 review,"Bar, American",“Fresh Fast Food”,No,No
99 Cent Fresh Pizza,1 review,"Bar, American",“insalata !”,No,No
Tabernacle Steakhouse,7,"Bar, American",“Delicious and convenient”,No,No
Whole Foods Market,10,"Bar, American",“The bartender/server suggested the ribeye as well as the special mashed potat...”,No,No
Aamber Indian Vegan,1 review,"Bar, American",No,No,No
Just Salad,8,"Bar, American",No,No,No
Villa Fresh Italian Kitchen,127,"Bar, American",No,No,No
Copacabanna Pizza & Grill,2,"Bar, American",No,No,No
Vestry,24,"Bar, American",No,No,No
Chipotle Mexican Grill,6,"Bar, American",No,No,No
Caribbean Fiesta,1 review,"Bar, American",No,No,No
Savory Deli & Grocery,1 review,"Bar, American",No,No,No
Chop't,2,"Bar, American",No,No,No
Nikki Sushi,3,"Bar, American",No,No,No
Ben & Jack's Steakhouse,87,"Bar, American",No,No,No
Saar Indian Bistro,98,Indian,“We had a party of four and ordered three entrees to share and one vegetarian...”,vegetarian,Yes
Papa Johns Pizza,5,"American, Wine Bar",“I love Papa Johns In New York”,Steak,Yes
The Otheroom,2,Deli,“My Dog Loves It”,fries,Yes
Mulberry Iconic Magazines,1 review,"American, Steakhouse",“Cozy place and great music”,sliders,Yes
Charm Thai,1 review,Pizza,"“Superb Steak, really delicious”",tuna,Yes
5C Cafe & Cultural Center,3,American,“They deliver even to hotels”,No,Yes
Royal 35 Steakhouse,591,"Italian, Pizza",“Good price for a large pizza”,No,Yes
Domino's Pizza,7,"Bar, Pub","“Great food, horrible customer experience”",No,Yes
Domino's Pizza,2,Indian,“Salads for Vegetarians?”,No,Yes
Dough Vale,3,"Latin, Spanish",“Great tasting Filipino fusion food!”,No,Yes
Chopt Creative Salad Co,2,"Wine Bar, Mediterranean","“The fries were terrific also, hot crisp...”",No,Yes
Lumpia Shack,2,"Mexican, Steakhouse",“Neem je golden card en go!”,No,Yes
All Stars Sports Bar & Grill,21,"Mexican, International",“Great noodles but food came salty”,No,Yes
Khan Restaurant,2,"Pub, Gastropub",“Ambiente familiar”,No,Yes
Dun Huang East Village,4,"Indian, International",“Very Good Authentic Chinese”,No,Yes
Marisco Centro,2,"Chinese, Asian",“Very good classic sushi’s !”,No,No
New Hong Wong Seafood Restaurant,2,"Japanese, American",“Amazing!!!”,No,No
Bondi Sushi,10,"Japanese, Sushi",“Even a below average Moe's is still good”,No,No
Balzem,100,International,"“Nice place, quick serving”",No,No
Moe's Southwest Grill,8,"American, Steakhouse",“Great lounge”,No,No
